lng,lng
-1.946195,53.016621
1.441689,47.847298
-0.511650,50.613577
0.069206,50.273165
-0.942766,50.513781
1.075376,51.373528
0.893372,52.050281
0.166233,49.430497
-2.190195,50.983131
1.607404,52.159338
-2.332914,52.680382
-0.832007,53.808260
-2.245001,52.663134
1.525562,48.206435
0.222609,52.224736
-0.741475,50.869732
0.219555,53.436363
1.638274,49.895172
0.250150,54.075729
-2.407223,52.271482
-0.200960,50.094878
-0.139876,47.188144
-0.971797,53.474536
-0.744909,48.595409
-0.141223,53.499243
0.210967,53.901813
0.591440,54.228069
2.698414,52.896952
1.327089,50.343200
-1.919911,52.914435
0.789373,57.166288
-0.002612,53.054201
2.039610,51.167901
0.441031,51.320975
-1.908840,49.498975
0.818510,47.402155
2.108251,45.934426
1.794611,51.969539
0.756204,47.767189
-4.165591,51.642787
-2.041868,50.229434
-1.153214,51.559745
-1.254164,52.351176
-2.413599,47.659898
0.337102,51.758815
1.669613,52.787358
2.811436,53.972312
-3.391315,52.302695
0.251100,55.606768
-2.279744,48.139034
2.293663,53.166969
-0.326751,52.215938
0.891742,54.723905
0.488755,52.047471
0.629336,56.490096
-0.336011,50.164120
-2.346423,52.169391
1.672197,53.514105
-2.063788,47.813205
1.447049,52.201619
1.525288,55.229999
-2.017554,47.128371
0.136191,50.783778
-0.678480,48.741812
-1.290612,51.690277
2.526634,51.105097
0.079006,55.413864
-2.680172,50.526602
-1.133128,49.202381
-2.142562,47.840075
-4.045273,50.976316
1.424591,51.954334
2.038223,51.201287
-0.373430,50.304564
-0.285353,50.605274
-0.309969,51.099650
-3.882862,48.400628
-1.211372,55.695548
3.232070,51.487792
2.983705,50.008311
0.136317,51.059001
-0.636530,51.090220
-4.617676,50.788594
4.031720,51.097670
0.418178,52.608585
0.192268,52.414872
3.913749,50.603141
-0.104380,54.736491
-1.786819,51.778408
-1.119316,53.808400
3.705607,53.717592
0.998337,54.082666
-3.010228,54.084968
1.598269,51.666672
1.438568,49.365844
-2.218722,51.289796
-0.789576,49.341763
-1.108851,52.355636
-0.662874,48.844607
2.417922,50.839798
-1.257228,51.884287
1.171603,49.469769
-0.634347,52.806424
0.451660,51.007199
-0.485768,55.800711
-1.741489,50.504654
0.014930,50.615643
-0.835854,49.896604
2.824888,52.322865
-1.037848,50.725881
0.523784,51.786177
1.925616,51.856535
-1.009452,52.688152
-0.139761,50.426693
-0.621153,50.135341
1.710258,51.754885
-0.383622,50.259967
-1.516573,52.284870
0.285294,53.504639
3.656968,49.913501
0.754493,50.545644
2.441097,51.982049
-0.577859,50.630098
-0.429180,49.058213
-5.509584,50.811322
2.810618,55.264667
1.007495,51.176167
-1.038058,50.520207
2.106521,51.162183
-1.343840,52.291210
1.001931,51.105728
2.599572,54.195105
-1.913490,52.158287
4.871915,49.324178
-0.824743,51.628644
-1.459969,53.343748
2.848124,50.226222
2.873590,51.797617
2.943778,55.837797
2.891787,51.987374
1.010544,51.899224
1.216200,52.501810
-1.883813,51.745573
2.305569,49.810761
0.095790,52.278304
1.152745,53.768773
-2.693735,52.666377
-3.100824,50.553975
0.501808,55.108540
-0.245031,52.259359
-0.101636,49.278230
0.287959,51.108768
-0.493910,48.056935
-2.628518,51.116968
0.443217,49.851304
-2.511913,49.253024
-0.176789,48.377737
1.623899,52.296747
-3.125530,51.543275
0.325594,51.691871
-0.782407,49.374415
-0.993516,53.889704
1.035162,50.039607
-0.144956,52.720334
3.457384,50.077470
0.838106,49.560364
-1.991456,52.340952
-1.278947,50.688855
4.589655,51.232343
-1.571792,51.576818
-1.140674,52.199369
-0.709729,49.455587
0.560575,55.234140
0.081766,51.218236
-2.186531,49.564504
0.534169,53.505821
1.352283,50.005786
-2.261229,49.391253
-0.009353,49.591230
1.078468,51.402759
1.338251,49.721206
-4.115216,50.796601
0.388063,54.808749
0.951251,52.907443
0.203621,51.383859
0.221391,48.230587
-2.304138,51.269823
-1.020677,51.902451
-1.043952,50.799648
-2.490615,51.998757
-1.804808,50.967975
0.587896,50.439724
0.246405,49.350771
2.297190,55.021148
-0.951361,51.445213
1.207322,50.927775
5.053569,48.177665
-2.326996,52.600637
2.127781,53.414950
-1.883876,53.432575
-0.136318,54.091564
0.288249,52.422422
0.795034,53.725072
1.794264,50.653862
-0.212443,49.323234
0.666269,52.996064
0.391521,54.314196
0.265781,53.461603
0.992772,54.587977
0.601015,53.432293
-0.211451,53.073731
0.051950,52.424916
0.830133,50.242025
-0.108560,48.995702
-1.020854,51.739531
-0.846100,46.299737
3.058388,53.997065
-1.576131,52.124511
-1.296588,49.725955
0.677657,54.573825
-1.175113,54.140517
-0.936096,52.188743
-0.482561,51.367126
0.215938,49.133774
-4.384819,53.056777
-1.035138,53.755713
0.934213,48.045680
3.970305,53.843860
2.696194,54.999865
-1.766175,48.399034
2.989752,49.283696
-0.283743,51.739341
0.390308,51.365777
-1.418517,53.237781
-0.135819,52.441436
-2.297441,49.409327
2.924785,52.320758
0.957573,53.338382
3.265091,52.954756
0.689646,54.114450
-3.376170,53.843281
-1.498063,51.732575
2.095469,51.322622
-0.820282,51.561219
-4.079101,52.811188
1.637615,50.756345
0.095620,51.021169
-3.681641,50.657287
-1.777212,53.632420
2.173375,48.275089
0.991428,52.464819
-0.892120,53.708400
-2.632727,49.201336
-2.795759,47.066298
0.275192,52.248473
0.078938,52.186762
2.876899,51.847757
-2.454693,52.042227
-1.367436,51.045541
1.937042,47.330512
2.749480,51.254271
-2.439011,52.231494
1.362920,49.719923
-0.556194,53.283733
0.049388,51.949717
-1.477128,50.255028
-1.231905,52.014203
3.293277,52.797465
0.335747,50.154762
0.940118,50.185485
3.653579,49.919997
0.991149,53.521430
1.059682,52.696319
-3.328505,51.649396
