lng,lng
-2.323234,54.736266
0.936611,50.035661
-1.932899,54.560303
0.528881,54.393753
0.824945,53.557909
-0.973439,52.545308
-0.670185,52.426981
1.039589,49.020764
0.594908,50.914122
1.825606,48.912935
3.184031,50.184985
0.714657,52.210555
1.139809,52.243100
0.560137,49.332122
1.535613,54.522508
1.827971,49.154809
-2.409009,52.843727
-4.393411,53.754562
-0.367975,53.393817
2.709491,51.850509
-2.015634,51.305764
-2.586221,51.460140
-4.673915,53.231761
-0.971104,50.499034
0.062017,55.798220
-0.565804,49.351818
-1.519681,52.936483
0.503300,51.686357
-1.755963,53.355927
1.572429,51.062291
-3.893856,50.040813
-0.642116,53.879858
0.057086,49.428041
3.510570,51.263974
1.732900,50.199648
3.085370,47.850307
-0.939751,53.949905
0.864853,50.898358
0.031830,49.883708
0.272594,54.532449
-1.049799,51.794088
2.492819,51.121039
2.192944,51.656518
1.798514,55.740293
-3.400569,51.771224
-1.725355,53.333984
5.019632,51.715499
2.060311,51.924955
3.171838,54.522539
-0.483860,52.024791
-3.316257,53.586389
-3.061910,54.816703
4.918746,51.364322
0.741827,51.243843
-0.814461,49.747258
-0.090455,53.703125
-4.252123,50.486889
-3.176244,50.700716
-0.564578,51.710532
-2.020049,55.647674
-0.123173,51.306090
0.044695,48.802272
-3.322651,53.229010
-2.657714,50.015303
1.193737,50.584252
1.664203,51.968368
-0.095784,54.049586
-1.603817,47.230425
-1.081056,51.997032
6.228843,52.534164
-3.718046,52.367424
-1.900252,52.293208
-0.328688,54.014590
0.883513,53.919132
-4.138072,50.719011
-3.071114,53.671364
-4.698051,54.128386
0.272703,50.486529
2.478557,50.268058
2.487031,49.609322
2.603930,53.903296
1.178549,52.195197
-1.152144,52.000110
-2.042415,52.652409
-3.377572,54.304629
-1.615029,52.854850
1.077210,48.957282
-2.318685,52.783069
0.141719,52.999473
-3.608814,50.889122
0.602037,54.479649
-1.543988,53.347192
0.901943,49.106573
3.157192,54.729131
-0.737037,55.394663
0.705629,54.188466
0.586943,46.925224
-2.725265,50.225307
-0.363333,54.509238
2.035931,47.787312
-4.721900,54.710051
0.696980,53.848857
-0.551056,53.249676
1.282617,48.899853
2.531424,54.359163
0.524794,49.573904
-1.145992,54.293209
0.430963,48.804387
2.064544,49.325396
-2.830991,48.666278
2.145837,49.959081
-0.270175,54.904592
0.731008,54.449251
-2.687671,52.535618
0.892915,53.436611
-1.913273,53.212499
0.455454,48.353640
1.017748,51.307453
-1.467851,50.320667
1.553589,51.281884
1.197783,51.428702
-1.668147,49.688509
2.633106,54.091406
-0.315599,53.723499
-0.258772,51.774458
1.583132,51.866123
1.497658,51.880570
1.377855,50.266479
-2.689133,51.728885
1.923001,47.194310
-3.294095,53.100096
-1.134505,51.177747
-2.114131,49.791251
-0.751811,53.762955
-0.064587,50.815251
-1.428730,51.759025
-2.527191,52.409260
2.220606,51.314455
-2.070817,51.864239
2.611516,50.998223
-0.906989,53.728772
3.700337,50.557617
0.124156,49.350650
-0.275988,47.556897
2.735070,54.338243
1.473436,50.024749
-0.687666,53.812095
0.343435,51.875667
-1.766257,50.668773
3.974628,50.203894
1.725743,51.507346
4.189951,53.195555
0.982574,52.982062
-0.389344,53.266541
-0.922482,51.836125
-4.300638,52.068334
-2.759338,51.441380
-1.067080,53.982037
-1.659870,55.860738
-0.669777,53.273427
-2.158096,52.961396
-1.466643,50.535702
0.554988,51.940387
-0.899931,53.196942
1.876038,51.364883
-2.254195,51.339023
2.448730,50.695148
0.765555,50.836542
1.919894,54.595574
2.949932,54.317766
1.187583,51.901412
-0.856333,56.203227
0.487904,50.185250
-1.899453,51.773114
1.239584,52.358578
-0.167603,51.534070
-0.794453,50.917864
-0.844647,50.575208
-1.161834,54.200144
-0.073157,53.247514
-1.873541,52.873746
0.669566,50.158198
0.089970,52.571732
-1.817465,53.617872
0.492777,50.512115
-0.726947,54.035014
0.681588,50.453142
1.045359,50.958103
-3.439777,52.431214
0.978436,51.162547
0.804410,47.405130
-2.036784,53.128005
1.656553,47.434695
-2.651464,52.760907
2.629648,49.396373
-2.836052,49.070325
-4.753227,53.379988
4.846637,52.543725
-1.736247,47.797783
-1.697687,50.919393
-1.268970,55.265315
-2.535193,48.262733
-0.762602,54.315540
-1.444631,52.651494
-0.836035,49.849546
0.286786,50.569307
-2.459567,51.968189
-0.270681,52.060537
2.715267,53.398373
-2.001468,49.079080
3.736140,52.596211
-3.573019,55.685852
-0.630298,56.052238
-2.548443,50.517111
0.910795,50.461107
-0.441669,53.474171
-0.461046,54.257776
-4.248414,51.214557
2.392428,55.136565
1.428503,50.697423
-0.174190,53.714429
0.908238,52.477587
-1.295150,50.603399
0.240383,48.318863
1.770728,45.818130
-0.335526,48.463874
-0.886788,48.975318
-1.548213,49.783800
-3.970171,52.125155
-0.908573,47.187660
1.897087,51.907606
-0.046804,50.144995
1.191044,49.121062
1.060756,50.405740
1.719728,55.185163
0.914897,51.390818
-3.271215,50.713112
-0.842922,50.133094
-0.189786,49.035368
-3.603318,53.160942
-1.876720,50.358625
2.716116,49.227968
-0.009538,47.003702
-0.169395,49.747910
1.009254,55.362095
-0.892421,51.585653
1.655297,51.289914
-0.843159,52.963387
-0.873952,51.515390
-1.972871,51.198046
1.414218,54.027076
-0.204895,52.288060
3.738603,53.036134
-0.639157,54.375709
2.897198,49.948248
-1.616770,52.198921
3.927818,49.622047
-0.475670,51.694483
-0.316278,52.514922
-1.091186,48.755185
-1.099042,52.084494
-0.885728,53.659949
2.880052,54.874594
-3.172403,51.389426
1.069963,51.004984
0.015866,51.673274
0.210240,53.078969
-3.357119,51.425625
-0.141042,52.511892
-2.414038,48.918525
-0.018681,51.567170
-2.559753,50.870816
-0.412992,52.336943
0.102561,55.783493
-0.754995,51.807252
1.138510,52.468840
-1.272779,51.273595
0.973700,49.898945
-0.072796,55.724099
-2.746112,50.852053
0.304080,53.309200
-2.561880,52.577873
0.503935,50.599644
-2.762408,52.845073
-1.113947,52.206913
0.720540,51.590546
0.167303,52.706300
0.237492,52.252678
1.215292,50.759831
-2.326372,50.836595
0.525420,49.803672
0.637953,50.628225
1.248329,54.411181
-3.551542,50.651300
-1.319005,55.611796
-1.148293,53.064676
1.163904,51.662367
3.753448,53.330707
0.017247,51.963101
-1.685485,55.057176
-0.248130,53.523082
-5.244170,51.016407
-0.087162,48.684168
-1.102217,51.837126
0.823515,48.934915
-0.520953,55.119335
3.755655,52.759484
2.084920,51.525837
2.633969,50.673392
-2.534185,53.027529
-2.731397,50.573063
-2.224420,48.820944
0.750493,52.578559
3.466765,51.826287
1.026138,50.184090
-0.765191,56.229944
-1.027051,51.621069
-0.769660,53.489639
0.924164,53.598551
-0.754095,49.530948
-2.579208,49.547921
-1.438656,55.818256
-1.130966,51.343441
1.586792,51.929984
-1.741512,54.735075
-1.173086,52.020182
1.048035,50.534461
0.251672,54.303789
2.623757,57.064306
-4.845254,50.653221
-6.891827,50.697324
-1.682678,52.726375
-1.674922,52.377104
-2.906068,53.219415
-0.226445,50.659309
-4.083270,51.149791
2.807908,51.372256
-1.314400,51.303041
-1.229404,52.715639
-2.306873,51.472277
-0.546879,47.443442
-2.600347,52.361749
-2.763302,55.645377
-1.706864,48.848112
-2.582730,50.407762
-2.368458,52.303947
-2.657840,51.072850
-1.742142,50.082134
-0.985228,53.136822
1.893008,53.568614
-1.482121,50.045877
0.495106,54.602482
-2.225474,53.844325
2.743097,50.976749
-0.580734,53.583954
-4.120964,51.845652
0.240653,51.862878
1.182979,52.890878
-0.663548,52.630665
-0.552003,51.209013
-0.526574,52.009709
-0.553743,51.243427
1.107423,47.346933
0.597137,50.394217
-0.554856,51.746119
-1.188586,52.440193
-0.291252,49.439847
2.814595,50.900546
-3.406609,50.562521
1.827433,52.994742
-1.801427,51.194603
0.297607,49.545779
-1.499113,54.052748
1.788197,50.108814
-1.261594,49.494202
-0.201377,51.510858
-2.056521,49.190896
-0.110819,50.940864
-0.187791,54.661451
-2.491652,53.173343
0.157023,46.309208
-1.456003,54.453729
1.645458,52.282061
-0.508363,54.539464
-4.760175,52.981036
1.447402,50.102387
1.847817,52.100622
-2.744190,46.126375
3.117994,52.027656
-2.182923,49.747442
0.861810,52.452017
-0.974144,48.422029
-2.978567,50.408821
0.266661,49.256908
0.181602,47.861459
-1.225111,52.800516
-0.418266,48.944287
2.606668,50.986220
-0.316249,52.484425
3.765875,51.057456
-0.896733,52.608351
0.277729,50.507543
-1.457422,47.834473
-1.022057,50.743079
3.620341,49.288288
-3.624098,45.274467
0.237520,48.482429
-0.259492,53.943884
0.781855,53.992680
1.759856,49.673863
-0.966033,52.622573
-1.625017,51.966071
-0.372262,52.339541
-3.143918,53.979786
1.671281,50.124944
-2.817918,50.708934
0.177214,53.585674
-5.028721,54.205501
-2.148087,50.462263
0.928306,52.973286
2.350314,48.125342
0.977283,46.738413
2.614194,48.327373
-2.015467,51.243150
-2.726317,52.034828
-1.523692,49.499028
0.663269,49.540082
0.322598,53.171215
0.860703,50.330760
1.801338,53.529077
3.765784,52.683042
1.876865,49.322954
1.394970,52.098529
0.561089,51.636350
-4.373082,52.140164
2.558288,49.024175
1.313796,52.548885
-3.229443,54.364809
-1.778111,48.650267
-4.772934,52.681841
0.104329,53.675398
-2.679205,51.250425
-1.610040,52.289339
-1.332169,48.045562
0.412328,48.977385
2.530456,53.636768
0.510269,51.103190
-2.389548,54.684039
-2.029357,51.204270
-3.226898,50.153288
1.765101,52.772612
-0.857653,47.788749
2.831336,52.740022
1.683959,46.680147
0.538621,51.957474
0.828661,50.033003
-1.034885,52.966171
0.905469,54.164660
-0.778967,51.660170
1.770217,52.643542
-0.341027,49.896081
-0.162489,52.966373
0.703135,53.418933
-1.889323,54.274666
-3.203698,51.792741
-2.293317,49.344048
-0.351675,52.013894
0.302133,52.483510
-2.438030,47.158885
-2.254975,53.728497
-0.013901,52.107386
0.061146,52.377260
-0.594799,52.073932
-1.296463,51.537827
-1.233756,49.917728
1.910448,51.927527
1.077960,48.958635
2.182182,50.675340
-0.045380,52.815286
-2.876657,52.821674
-0.427819,54.976822
-2.505758,52.140994
-0.939387,53.317929
-0.284822,52.295824
1.848716,50.288960
0.615379,48.638495
-1.637067,48.046790
0.312602,48.232262
-4.674428,50.438452
-0.329587,51.232742
-0.627458,50.502544
0.909337,51.845113
-0.783153,52.998324
-0.023908,49.030947
1.417688,53.825258
-1.806605,52.969101
2.073790,52.091932
-1.662566,51.966551
4.803574,50.587580
0.564067,51.288365
-1.734052,50.128629
2.042950,55.113348
-0.308041,50.152934
-1.786597,51.350717
0.009064,49.140713
-1.273495,51.703144
-4.548004,52.180883
-3.961246,50.157510
2.873117,51.912839
2.599092,55.655758
1.311447,48.590966
-1.931167,54.201165
-0.473104,53.831600
-0.162310,51.524635
0.748532,52.598971
-0.145289,49.464043
-0.298026,49.734985
1.243951,47.498230
-0.282808,49.097556
2.010533,51.333138
-1.141549,49.048271
2.193439,52.876022
1.443559,49.938120
1.294752,51.351897
-1.776447,50.827226
-2.744766,50.728746
1.621915,49.726060
-0.510426,49.002707
0.530145,47.986325
2.065015,53.028189
-2.155063,54.285973
1.689131,50.835922
0.327666,52.244716
-0.698733,50.237724
-2.207992,50.726541
-0.415157,49.378255
-1.273685,55.096937
0.451975,54.722941
-3.468351,51.538854
-1.951843,55.499959
-1.667291,54.452109
1.461119,50.451081
1.156699,51.591451
0.760490,52.671071
-0.056804,48.303455
2.118831,54.809251
-1.615401,52.047905
-0.924353,47.619808
-2.463911,52.046948
1.162303,50.971914
