lng,lat
-122.456776,37.767170
-122.366089,37.689647
-122.472453,37.783729
-122.359009,37.739824
-122.463925,38.117846
-122.418097,37.770314
-122.368247,37.764320
-122.355592,37.779193
-122.425244,37.864371
-122.432934,37.879077
-122.193186,37.885494
-122.589288,37.756482
-122.453250,37.587947
-122.448623,37.742269
-122.277688,37.660343
-122.351706,37.867637
-122.375305,37.753429
-122.425771,37.893529
-122.400618,37.732173
-122.411637,37.792192
-122.379316,37.722116
-122.346028,37.868008
-122.574163,37.963252
-122.476719,37.751957
-122.472789,37.724802
-122.468496,37.827493
-122.482337,37.772982
-122.385554,37.692332
-122.478887,37.880349
-122.307027,37.817197
-122.386080,37.904567
-122.519979,37.681581
-122.375877,37.888701
-122.584133,38.004094
-122.355887,37.741640
-122.489938,37.793910
-122.436381,37.820297
-122.435956,37.858284
-122.613889,37.638147
-122.613099,37.821128
-122.453422,37.806126
-122.516828,37.917597
-122.436110,37.936257
-122.612282,37.802546
-122.399656,37.823846
-122.473270,37.705621
-122.481072,37.600130
-122.371806,37.627548
-122.451042,37.674409
-122.420917,37.891461
-122.303925,37.840337
-122.397462,37.652655
-122.333745,37.869107
-122.457122,37.805276
-122.419026,37.959073
-122.469573,37.772704
-122.352932,37.775219
-122.502553,37.898489
-122.467214,37.868973
-122.327457,37.731051
-122.526383,37.808589
-122.408521,37.760712
-122.442990,37.791679
-122.458949,37.556723
-122.283746,37.839271
-122.294851,37.731168
-122.216011,37.767132
-122.418119,37.729019
-122.312735,37.797461
-122.405449,37.895183
-122.271429,37.550387
-122.423890,37.787376
-122.534224,37.702335
-122.311360,37.850244
-122.492747,37.639971
-122.374216,37.770171
-122.488100,37.963811
-122.433926,37.885957
-122.358598,37.850195
-122.652972,37.898783
-122.443680,37.776225
-122.359812,37.883274
-122.351190,37.836155
-122.451146,37.835981
-122.370158,37.696208
-122.428331,37.824811
-122.294515,37.785716
-122.225755,37.801385
-122.529605,37.638616
-122.423361,37.850277
-122.250923,37.694714
-122.503123,37.978353
-122.464504,37.874574
-122.350043,37.854190
-122.448761,37.842476
-122.517926,37.812108
-122.409563,37.657524
-122.530819,37.769746
-122.256539,37.777236
-122.477831,37.854672
-122.387952,37.569401
-122.496013,37.751254
-122.481756,37.870210
-122.442675,37.759426
-122.398996,37.723831
-122.415085,37.661206
-122.458171,37.693268
-122.532279,37.565782
-122.479438,37.773013
-122.483517,37.635853
-122.469552,37.846070
-122.565781,37.778139
-122.363853,37.731352
-122.419966,37.926339
-122.411304,37.819586
-122.350221,37.670871
-122.467812,37.655514
-122.383785,37.604959
-122.423725,37.837464
-122.450685,37.777894
-122.408551,37.735182
-122.469073,37.682915
-122.464125,37.754668
-122.459782,37.862799
-122.464208,37.838041
-122.429783,37.819987
-122.549827,37.785609
-122.408494,37.828833
-122.564260,37.892040
-122.494790,37.763472
-122.319905,37.748572
-122.319023,37.885987
-122.492815,37.792962
-122.355815,37.942501
-122.361949,37.788963
-122.323944,37.905040
-122.476012,37.665102
-122.380676,37.841235
-122.463715,37.646051
-122.524416,37.730616
-122.362414,37.821071
-122.331055,37.846588
-122.488988,37.633124
-122.610705,37.931830
-122.426985,37.871987
-122.532698,37.699647
-122.503468,37.698501
-122.372604,37.814878
-122.576456,37.872987
-122.491923,37.913614
-122.510199,37.796204
-122.655147,37.913723
-122.409373,37.721094
-122.533148,37.828497
-122.503858,37.722676
-122.363471,37.645530
-122.487880,37.864980
-122.517790,37.847496
-122.501870,37.785089
-122.225516,37.807376
-122.184301,37.805589
-122.310845,37.731099
-122.555564,37.774090
-122.364455,37.837436
-122.478490,37.888566
-122.378415,37.835578
-122.406818,37.967878
-122.509040,37.706310
-122.464954,37.818438
-122.427710,37.844006
-122.393116,37.787039
-122.380617,37.799837
-122.269299,37.706170
-122.636705,37.744905
-122.529579,37.655747
-122.389438,37.669437
-122.448052,37.675374
-122.416251,37.874866
-122.220588,37.753145
-122.372967,37.784089
-122.452996,37.902667
-122.403310,37.778024
-122.216249,37.626003
-122.604330,37.640197
-122.531700,37.686328
-122.618413,37.815421
-122.519829,37.788958
-122.477523,37.738435
-122.286208,37.775770
-122.377712,37.821520
-122.247774,37.813502
-122.278185,37.762182
-122.335760,37.822311
-122.373238,37.744459
-122.395027,37.681592
-122.257680,37.778024
-122.401544,37.887867
-122.356469,37.719454
-122.468990,37.825212
-122.298665,37.799404
-122.321648,37.700208
-122.458095,37.566773
-122.384659,37.841404
-122.533967,37.792883
-122.394880,38.032920
-122.365753,37.749779
-122.314686,37.800901
-122.388918,37.776027
-122.384936,37.787033
-122.271047,37.747974
-122.411286,37.683568
-122.395397,37.964881
-122.440511,37.674944
-122.404586,37.736695
-122.292075,37.933715
-122.522510,37.786612
-122.476262,37.980755
-122.380572,37.906302
-122.460010,37.732207
-122.435192,37.815564
-122.411097,37.710788
-122.305034,37.729937
-122.304685,37.875873
-122.438584,37.604077
-122.498851,37.862303
