lng,lat
-122.552806,37.644323
-122.443524,37.905456
-122.373338,37.695501
-122.412364,37.710821
-122.524646,37.680714
-122.447282,37.724296
-122.593054,37.912619
-122.622569,37.775111
-122.480840,37.798146
-122.392297,37.793756
-122.290544,37.884111
-122.485318,37.803361
-122.501820,37.926785
-122.479874,37.749704
-122.218483,37.901631
-122.279239,37.670778
-122.409969,37.838523
-122.240407,37.441537
-122.425624,37.824776
-122.545309,37.798767
-122.294320,37.816031
-122.393478,37.801252
-122.319981,37.861924
-122.525398,37.755112
-122.383746,37.606317
-122.400484,37.801134
-122.471407,37.958589
-122.488519,37.713882
-122.327127,37.691316
-122.457371,37.722402
-122.367759,37.810836
-122.275031,37.591925
-122.450840,37.841394
-122.429707,37.706952
-122.325382,37.824827
-122.316732,37.777199
-122.288587,37.685058
-122.442603,37.747147
-122.420972,37.764118
-122.441013,37.585123
-122.431380,37.792614
-122.462896,37.763154
-122.433066,37.789424
-122.406573,37.735990
-122.362472,37.677597
-122.314776,37.628474
-122.344671,37.748381
-122.364087,37.637439
-122.289938,37.706517
-122.344102,37.737762
-122.314829,37.774313
-122.366291,37.677683
-122.402360,37.893635
-122.380643,37.750725
-122.367029,37.852906
-122.517587,37.616763
-122.287240,37.529227
-122.389896,37.735118
-122.439392,37.762976
-122.425206,37.680758
-122.438522,37.799392
-122.429414,37.691170
-122.277046,37.921051
-122.326364,37.789604
-122.340145,37.878461
-122.443293,37.695254
-122.402795,37.685137
-122.434582,37.852528
-122.410770,37.650128
-122.357066,37.642712
-122.594296,37.766935
-122.526949,37.549962
-122.412604,37.843659
-122.365376,37.760372
-122.490430,37.641047
-122.430417,37.738108
-122.485428,37.801487
-122.420160,37.926059
-122.456382,37.778263
-122.353168,37.685180
-122.340104,37.637361
-122.349081,37.757871
-122.398125,37.667005
-122.359439,37.823065
-122.419919,37.916432
-122.289875,37.722783
-122.335737,37.758506
-122.397523,37.784940
-122.449764,37.816370
-122.543811,37.691968
-122.338097,37.784302
-122.351735,37.941937
-122.335560,37.831581
-122.496395,37.874572
-122.370985,37.663973
-122.389129,37.842212
-122.352616,37.812236
-122.466005,37.742149
-122.301129,37.845878
-122.273359,37.613689
-122.276508,37.680270
-122.342731,37.679387
-122.186787,37.769566
-122.676094,37.797208
-122.526747,37.839587
-122.329491,37.720041
-122.469882,37.879125
-122.397401,37.790634
-122.425847,37.675835
-122.530740,37.686784
-122.374197,37.825971
-122.600775,37.889827
-122.533367,37.814709
-122.535817,37.897611
-122.363774,37.916414
-122.476374,37.686853
-122.528209,37.830287
-122.539412,37.748687
-122.383545,37.806542
-122.340324,37.750965
-122.444662,37.702328
-122.422828,37.832609
-122.426577,37.779290
-122.325619,37.878307
-122.401060,37.766592
-122.447736,37.637927
-122.483400,37.625362
-122.524014,37.861295
-122.434828,37.748365
-122.429927,37.822350
-122.435372,37.686725
-122.323508,37.729094
-122.315489,37.637410
-122.409643,37.761343
-122.466340,37.689213
-122.398090,37.734503
-122.447997,37.826030
-122.368981,37.989275
-122.399729,37.806671
-122.378094,37.682682
-122.477397,37.810810
-122.520420,37.640292
-122.681537,37.872049
-122.418451,37.792017
-122.417237,37.794141
-122.337473,37.629898
-122.581423,37.886912
-122.475377,37.761910
-122.430392,37.716725
-122.181230,37.705237
-122.336669,37.621520
-122.367061,37.637007
-122.301444,37.883414
-122.483924,37.726780
-122.284836,37.803103
-122.246616,37.825077
-122.302623,37.862101
-122.336433,37.688188
-122.354484,37.687868
-122.360443,37.714139
-122.333276,37.983206
-122.414428,37.594473
-122.204087,37.645194
-122.401608,37.798870
-122.552255,37.635897
-122.434363,37.893408
-122.380711,37.641577
-122.308741,37.568115
-122.485867,37.763649
-122.423564,37.737696
-122.429930,37.785339
-122.494248,37.717073
-122.320732,37.851318
-122.479081,37.610013
-122.458921,37.727101
-122.349530,37.779415
-122.438296,37.946431
-122.563921,37.831656
-122.506952,37.664670
-122.560620,37.731538
-122.509344,37.848576
-122.366121,37.643732
-122.125709,37.596189
-122.544436,37.849623
-122.429242,37.844949
-122.602150,37.747554
-122.361537,37.822746
