lng,lng
-3.195070,51.049438
-4.145284,53.421937
2.488317,50.158253
-4.027490,54.037098
-2.052291,51.598031
-0.562130,54.909198
-0.278763,52.186523
0.109182,51.510194
1.297451,51.522027
-2.856698,54.080886
0.037315,54.600432
-1.072994,50.257004
-0.334120,49.278327
-3.130032,53.578872
-0.032830,52.342195
0.990675,54.313921
2.901864,52.125522
-1.992128,48.281449
-0.543913,52.462325
-3.253589,52.860153
4.966014,52.680359
0.325810,54.586682
-0.516374,48.352043
-2.535605,51.873680
0.455826,51.748078
-4.170223,51.146551
-3.247298,52.546884
-2.425636,51.407440
-0.662588,52.378099
-0.651015,52.420663
-3.389707,50.570719
2.699828,52.033460
2.363346,53.681982
1.417024,51.575900
1.853847,50.275476
1.984453,53.570736
1.044760,52.566529
0.288679,56.407014
-3.312898,53.593096
-0.518647,48.910733
-0.223552,52.889895
3.690577,53.807540
0.927227,52.963139
1.676732,53.437190
-2.724428,51.316024
3.084253,54.148852
-0.013838,50.054290
0.702744,52.833764
-3.072915,49.104012
-2.331983,49.844940
1.851522,51.574880
2.878093,48.493327
-2.174341,50.362686
-2.284538,51.613172
0.352059,50.125415
0.983637,52.028413
0.817992,50.988347
-0.816755,53.218209
1.135756,55.800258
-2.120205,52.914305
3.149089,53.579031
1.644329,45.669439
0.208049,47.305091
1.901575,51.048803
-0.608902,51.345905
-0.840732,53.484777
3.031187,51.409023
-0.218269,52.484655
-1.270014,50.399635
2.116240,53.402649
-0.311924,51.070028
-0.115898,51.219200
0.183861,45.651811
-1.435834,48.046107
2.134460,52.068084
-3.458814,51.778959
-0.140282,52.970852
1.344785,54.300160
-4.022731,53.356505
1.937409,52.350061
-0.445151,52.158159
-3.731654,52.662936
4.638342,53.320308
1.399193,51.871086
-2.329517,52.086623
0.968536,51.359639
-3.470315,53.530773
-2.707411,52.240885
0.545259,46.915507
0.166407,52.715472
-0.911007,54.782417
-2.287174,48.507537
-1.357361,49.126382
0.161061,51.052043
0.755133,52.644869
1.659345,51.650115
-0.117395,55.256951
-0.048575,53.470847
1.934727,52.672874
-1.334321,51.203747
1.763445,51.276660
-1.427306,48.817671
0.787233,52.499553
0.650676,56.276033
-0.011783,52.112956
2.022682,49.837906
-1.619048,50.652969
0.279412,50.203550
-1.545074,51.941636
-0.120049,50.440013
-4.596834,49.912921
-0.770504,52.868218
-4.263178,54.208800
-0.212727,51.312452
1.613602,52.846616
-1.054554,54.890272
-0.610199,52.708054
2.197056,51.019861
0.531732,52.264239
1.499086,50.722525
2.643986,50.188157
3.754107,50.136654
0.023391,49.854854
-0.578750,54.116014
-1.666462,49.115962
-0.552212,52.788427
-2.160069,50.344613
-0.248766,50.762973
-0.906289,48.527474
2.056642,54.255028
2.648911,51.328387
-5.965517,53.317868
-2.118435,49.302574
0.403737,50.885610
0.345350,49.834500
1.422439,52.211306
-2.318348,51.213469
1.295668,53.585936
1.570236,50.055264
1.966197,51.644070
1.354769,54.841234
1.746186,51.591475
-2.551507,53.356554
3.168331,49.218968
-5.837816,49.794012
0.430022,48.587083
-0.561901,50.525053
-1.267124,51.103966
0.271943,53.794550
-1.942247,50.221715
0.126198,50.591810
-1.224040,48.432988
-4.755354,54.447752
1.126286,52.019917
-2.811504,53.826925
-0.355602,53.917264
2.492785,47.920711
-0.639233,49.815393
1.213290,52.024747
2.137674,53.267118
-0.772881,50.758115
-5.462075,53.264140
-2.644535,51.550116
-1.910442,52.163134
-1.353688,50.542976
-6.270290,49.591202
1.057957,50.953680
-1.109240,52.299107
2.026336,55.109104
-2.024432,53.478841
4.730553,46.983337
-2.240297,52.116901
1.533000,51.198195
-3.001112,51.435202
-0.429699,52.681791
-2.548600,53.399129
-2.072961,51.592223
-0.507760,50.958194
1.376126,50.405531
-1.155724,51.371198
-1.521744,46.212072
0.804502,52.972197
1.236898,52.847940
-1.565304,53.333512
-2.207718,48.635847
0.937456,51.496597
-0.545963,53.820311
2.555575,52.295943
0.897489,53.542501
0.225448,54.409354
-0.094743,54.003430
-1.578902,52.384741
0.756471,51.712281
1.854929,49.638562
-1.084272,52.997341
-0.864438,52.331630
-3.918950,51.033726
-0.389593,51.170514
-2.579487,49.225441
1.639413,51.084550
0.622742,52.048389
-2.482988,53.433582
2.416002,50.470329
-1.654768,51.308436
1.399714,50.871284
-1.259024,45.464387
-0.759340,51.057360
-3.394766,52.509750
-0.170423,53.191351
-2.252343,47.656513
0.456524,49.602454
1.481185,54.156132
0.387465,51.355650
-0.374429,47.353312
1.591574,49.165286
-1.148647,48.553723
-3.733787,51.427135
0.318717,53.191918
2.765141,49.337376
3.019408,55.738732
1.847464,49.952399
0.588299,49.330122
3.078886,51.625360
-3.318382,51.775081
2.108876,51.382498
-0.075516,54.483434
-0.726969,54.035974
-1.941372,49.998013
1.275034,55.123356
2.235810,49.666059
0.229857,53.463189
-0.393829,52.562845
-2.723146,54.307035
-1.363025,49.707247
-0.246464,51.368466
3.649656,51.707169
-0.545094,53.564437
1.963159,50.072219
0.696956,51.392344
2.247505,50.760591
0.931122,50.558297
1.111182,48.489221
-0.970027,48.304314
2.386077,50.474934
-2.990076,54.181619
0.285996,46.545405
2.104790,53.274951
-0.957282,52.357461
1.449506,53.819794
-1.357423,49.499170
-1.960400,51.151165
-2.682604,51.122300
2.787952,51.778706
